"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3671","makeInvalidTransferAccountId(Long, Long, String) [1] 9223372036854775807, 9223372036854775807, Unauthorized access to account","","Fri Dec 05 13:06:15 UTC 2025","passed","Fri Dec 05 13:06:19 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransferAccountId"
"","528","changeDepositWithInvalidValidBalance(Double, String) [3] -0.1, Deposit amount must be at least 0.01","","Fri Dec 05 13:06:25 UTC 2025","failed","Fri Dec 05 13:06:25 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidBalance"
"","628","changeProfileWithInvalidData(String, String) [2] Texttext, Name must contain two words with letters only","","Fri Dec 05 13:06:18 UTC 2025","passed","Fri Dec 05 13:06:19 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","746","makeInvalidTransfer(Double, Integer, String) [2] 0.0, 1, Transfer amount must be at least 0.01","","Fri Dec 05 13:06:23 UTC 2025","failed","Fri Dec 05 13:06:24 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransfer"
"","195","adminCanCreateUserWithCorrectData()","","Fri Dec 05 13:06:23 UTC 2025","passed","Fri Dec 05 13:06:23 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","855","changeDepositWithInvalidValidAccount(Long, String) [1] null, Unauthorized access to account","","Fri Dec 05 13:06:26 UTC 2025","passed","Fri Dec 05 13:06:26 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidAccount"
"","142","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [1]    , Password33$, USER, username, [Username cannot be blank, Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Dec 05 13:06:22 UTC 2025","passed","Fri Dec 05 13:06:22 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","765","makeInvalidTransfer(Double, Integer, String) [3] -0.1, 1, Transfer amount must be at least 0.01","","Fri Dec 05 13:06:24 UTC 2025","failed","Fri Dec 05 13:06:25 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransfer"
"","732","makeInvalidTransfer(Double, Integer, String) [4] 6000.0, 1, Invalid transfer: insufficient funds or invalid accounts","","Fri Dec 05 13:06:25 UTC 2025","passed","Fri Dec 05 13:06:26 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransfer"
"","160","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [3] abc$, Password33$, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Dec 05 13:06:22 UTC 2025","passed","Fri Dec 05 13:06:23 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","291","userCanGenerateAuthTokenTest()","","Fri Dec 05 13:06:26 UTC 2025","passed","Fri Dec 05 13:06:26 UTC 2025","","nbugs.api.LoginUserTest","nbugs.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","1030","makeInvalidTransfer(Double, Integer, String) [1] 10000.1, 3, Transfer amount cannot exceed 10000","","Fri Dec 05 13:06:22 UTC 2025","failed","Fri Dec 05 13:06:23 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransfer"
"","540","changeDepositWithValidDataCheckDatabase()","","Fri Dec 05 13:06:23 UTC 2025","passed","Fri Dec 05 13:06:23 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithValidDataCheckDatabase"
"","529","changeDepositWithInvalidValidAccount(Long, String) [2] 9223372036854775807, Unauthorized access to account","","Fri Dec 05 13:06:25 UTC 2025","passed","Fri Dec 05 13:06:26 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidAccount"
"","2343","changeProfileWithValidData()","","Fri Dec 05 13:06:16 UTC 2025","passed","Fri Dec 05 13:06:18 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithValidData"
"","108","adminCanGenerateAuthTokenTest()","","Fri Dec 05 13:06:26 UTC 2025","passed","Fri Dec 05 13:06:26 UTC 2025","","nbugs.api.LoginUserTest","nbugs.api.LoginUserTest","adminCanGenerateAuthTokenTest"
"","913","makeInvalidTransferAccountId(Long, Long, String) [2] null, 9223372036854775807, Unauthorized access to account","","Fri Dec 05 13:06:19 UTC 2025","passed","Fri Dec 05 13:06:20 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeInvalidTransferAccountId"
"","193","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [2] ab, Password33$, USER, username, [Username must be between 3 and 15 characters]","","Fri Dec 05 13:06:22 UTC 2025","passed","Fri Dec 05 13:06:22 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","1927","makerValidBetweenDifferentUserAccountTransfer()","","Fri Dec 05 13:06:20 UTC 2025","passed","Fri Dec 05 13:06:21 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makerValidBetweenDifferentUserAccountTransfer"
"","524","changeProfileWithInvalidData(String, String) [4]   Texttext, Name must contain two words with letters only","","Fri Dec 05 13:06:20 UTC 2025","passed","Fri Dec 05 13:06:20 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","636","changeProfileWithInvalidData(String, String) [1] Text 123, Name must contain two words with letters only","","Fri Dec 05 13:06:21 UTC 2025","passed","Fri Dec 05 13:06:21 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","627","changeProfileWithInvalidData(String, String) [5] Test Test Test, Name must contain two words with letters only","","Fri Dec 05 13:06:20 UTC 2025","passed","Fri Dec 05 13:06:21 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","515","changeDepositWithInvalidValidBalance(Double, String) [1] 5000.01, Deposit amount cannot exceed 5000","","Fri Dec 05 13:06:23 UTC 2025","failed","Fri Dec 05 13:06:24 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidBalance"
"","1","makeValidBetweenOwnAccountTransferCheckDb()","","Fri Dec 05 13:06:15 UTC 2025","skipped","Fri Dec 05 13:06:15 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makeValidBetweenOwnAccountTransferCheckDb"
"","565","changeDepositWithInvalidValidBalance(Double, String) [2] 0.0, Deposit amount must be at least 0.01","","Fri Dec 05 13:06:24 UTC 2025","failed","Fri Dec 05 13:06:25 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithInvalidValidBalance"
"","570","changeProfileWithInvalidData(String, String) [3]  Texttext, Name must contain two words with letters only","","Fri Dec 05 13:06:19 UTC 2025","passed","Fri Dec 05 13:06:20 UTC 2025","","nbugs.api.ChangeProfileTest","nbugs.api.ChangeProfileTest","changeProfileWithInvalidData"
"","665","userCanCreateAccountTest()","","Fri Dec 05 13:06:21 UTC 2025","passed","Fri Dec 05 13:06:22 UTC 2025","","nbugs.api.CreateAccountTest","nbugs.api.CreateAccountTest","userCanCreateAccountTest"
"","117","adminCanNotCreateUserWithInvalidData(String, String, String, String, List) [4] abc%, Password33$, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]","","Fri Dec 05 13:06:23 UTC 2025","passed","Fri Dec 05 13:06:23 UTC 2025","","nbugs.api.CreateUserTest","nbugs.api.CreateUserTest","adminCanNotCreateUserWithInvalidData"
"","0","changeDepositWithValidData()","","Fri Dec 05 13:06:25 UTC 2025","skipped","Fri Dec 05 13:06:25 UTC 2025","","nbugs.api.DepositTest","nbugs.api.DepositTest","changeDepositWithValidData"
"","899","makerValidBetweenOwnAccountTransfer()","","Fri Dec 05 13:06:22 UTC 2025","passed","Fri Dec 05 13:06:22 UTC 2025","","nbugs.api.TransferTest","nbugs.api.TransferTest","makerValidBetweenOwnAccountTransfer"
